type,air_temperature_[k],process_temperature_[k],rotational_speed_[rpm],torque_[nm],tool_wear_[min],twf,hdf,pwf,osf,rnf,machine_failure
1,302.0,311.1,1406.0,48.8,159,0,0,0,0,0,0
0,298.3,308.1,1326.0,58.4,90,0,0,0,0,0,0
0,298.9,310.3,1456.0,44.1,118,0,0,0,0,0,0
0,298.0,308.5,1702.0,26.7,203,0,0,0,0,0,0
0,302.6,311.4,1738.0,25.8,128,0,0,0,0,0,0
0,297.1,308.2,1347.0,50.8,49,0,0,0,0,0,0
0,303.8,312.7,1664.0,29.3,178,0,0,0,0,0,0
0,298.6,309.8,1637.0,34.6,207,0,0,0,0,0,0
0,301.6,311.1,1899.5,21.5,102,0,0,0,0,0,0
1,302.3,311.2,1505.0,36.7,78,0,0,0,0,0,0
1,298.2,309.0,1410.0,47.6,76,0,0,0,0,0,0
0,296.8,307.9,1709.0,28.4,118,0,0,0,0,0,0
1,297.2,308.3,1776.0,28.0,43,0,0,0,0,0,0
0,300.2,310.2,1600.0,31.5,23,0,0,0,0,0,0
0,301.0,310.7,1391.0,45.0,123,0,0,0,0,0,0
2,298.7,309.3,1402.0,45.3,190,0,0,0,0,0,0
1,298.1,307.9,1496.0,40.0,0,0,0,0,0,0,0
0,301.5,310.3,1415.0,41.6,28,0,0,0,0,0,0
0,301.1,311.1,1711.0,29.1,170,0,0,0,0,0,0
1,296.8,307.8,1664.0,32.8,142,0,0,0,0,0,0
0,298.2,308.4,1477.0,49.9,72,0,0,0,0,0,0
1,297.4,309.0,1520.0,37.0,147,0,0,0,0,0,0
1,298.9,308.9,1487.0,39.5,30,0,0,0,0,0,0
0,299.3,309.1,1551.0,39.1,147,0,0,0,0,0,0
0,298.3,308.2,1663.0,28.4,67,0,0,0,0,0,0
1,301.0,311.0,1423.0,38.6,199,0,0,0,0,0,0
0,301.5,311.1,1434.0,49.6,129,0,0,0,0,0,0
1,300.5,311.6,1476.0,39.1,199,0,0,0,0,0,0
0,300.6,310.0,1425.0,49.5,174,0,0,0,0,0,0
1,301.3,310.8,1455.0,41.2,56,0,0,0,0,0,0
1,297.2,308.4,1863.0,26.0,110,0,0,0,0,0,0
0,298.8,308.8,1523.0,44.4,55,0,0,0,0,0,0
0,300.4,310.0,1769.0,26.1,38,0,0,0,0,0,0
0,301.6,311.1,1408.0,44.4,106,0,0,0,0,0,0
1,298.7,309.6,1424.0,50.4,32,0,0,0,0,0,0
0,301.5,310.7,1435.0,38.5,224,0,0,0,0,0,0
1,298.0,308.1,1552.0,36.6,190,0,0,0,0,0,0
1,302.2,311.6,1592.0,37.7,79,0,0,0,0,0,0
0,300.6,310.4,1494.0,47.3,118,0,0,0,0,0,0
1,297.5,309.4,1433.0,48.3,139,0,0,0,0,0,0
0,297.3,308.7,1491.0,40.2,112,0,0,0,0,0,0
0,300.1,311.5,1899.5,17.0,123,0,0,0,0,0,0
2,302.0,310.9,1679.0,29.0,222,0,0,0,0,0,0
0,299.2,308.4,1393.0,48.4,35,0,0,0,0,0,0
1,302.1,310.7,1364.0,47.8,213,0,0,0,0,0,1
1,300.0,309.2,1635.0,32.4,4,0,0,0,0,0,0
0,301.4,310.8,1431.0,44.3,21,0,0,0,0,0,0
0,300.8,310.3,1537.0,33.3,52,0,0,0,0,0,0
2,299.7,309.2,1572.0,32.8,142,0,0,0,0,0,0
1,296.8,307.9,1843.0,25.2,116,0,0,0,0,0,0
2,298.0,307.7,1547.0,36.8,186,0,0,0,0,0,0
0,301.0,310.9,1679.0,29.8,64,0,0,0,0,0,0
0,295.7,306.1,1343.0,54.4,119,0,0,0,0,0,0
1,299.3,310.7,1374.0,48.9,222,0,0,0,0,0,0
0,300.8,309.7,1373.0,45.4,179,0,0,0,0,0,0
0,298.6,309.7,1627.0,33.4,99,0,0,0,0,0,0
0,300.4,311.5,1492.0,44.6,149,0,0,0,0,0,0
0,300.4,310.5,1899.5,14.5,12,0,0,0,0,0,0
0,301.3,310.5,1365.0,47.7,70,0,0,0,0,0,0
0,300.0,309.6,1694.0,28.7,94,0,0,0,0,0,0
0,301.4,310.3,1899.5,16.6,169,0,0,0,0,0,0
0,302.4,310.9,1469.0,39.6,86,0,0,0,0,0,0
1,297.3,308.6,1584.0,29.4,141,0,0,0,0,0,0
1,304.2,313.6,1424.0,43.7,151,0,0,0,0,0,0
0,298.9,310.0,1719.0,27.3,58,0,0,0,0,0,0
0,297.4,309.2,1620.0,33.2,28,0,0,0,0,0,0
0,302.1,311.2,1454.0,46.8,0,0,0,0,0,0,0
0,301.9,310.9,1486.0,40.3,6,0,0,0,0,0,0
0,297.2,308.5,1550.0,41.5,125,0,0,0,0,0,0
1,298.0,308.9,1339.0,51.4,68,0,0,0,0,0,0
0,300.2,311.6,1899.5,21.0,19,0,0,0,0,0,0
0,296.9,308.0,1546.0,31.1,11,0,0,0,0,0,0
2,303.5,312.8,1404.0,55.8,84,0,0,0,0,0,0
0,297.2,308.5,1494.0,39.6,181,0,0,0,0,0,0
0,302.1,311.5,1899.5,20.1,21,0,0,0,0,0,0
0,300.6,310.8,1378.0,51.2,119,0,0,0,0,0,0
0,302.6,312.4,1398.0,41.6,40,0,0,0,0,0,0
2,298.7,309.7,1697.0,29.8,74,0,0,0,0,0,0
0,296.7,308.0,1451.0,50.7,197,0,0,0,0,0,0
1,300.5,311.9,1370.0,44.8,20,0,0,0,0,0,0
0,301.3,311.1,1560.0,35.3,55,0,0,0,0,0,0
1,300.9,311.0,1567.0,34.3,130,0,0,0,0,0,0
0,303.7,312.7,1395.0,53.9,123,0,0,0,0,0,0
2,301.0,310.9,1495.0,37.3,21,0,0,0,0,0,0
1,303.6,312.7,1899.5,17.6,37,0,0,0,0,0,0
1,297.5,309.1,1540.0,38.5,176,0,0,0,0,0,0
1,297.6,308.4,1569.0,38.3,93,0,0,0,0,0,0
0,302.3,311.7,1899.5,18.2,91,0,0,0,0,0,0
0,298.0,308.5,1713.0,25.3,124,0,0,0,0,0,0
0,302.7,312.4,1477.0,46.3,251,0,0,0,0,0,1
2,297.1,308.0,1559.0,38.8,229,0,0,0,0,0,0
0,300.3,309.2,1649.0,32.4,50,0,0,0,0,0,0
0,300.2,309.7,1448.0,36.8,14,0,0,0,0,0,0
0,298.3,309.4,1356.0,45.4,96,0,0,0,0,0,0
0,301.8,310.7,1597.0,30.8,74,0,0,0,0,0,0
0,299.0,310.2,1516.0,35.3,102,0,0,0,0,0,0
1,302.2,311.3,1510.0,37.1,10,0,0,0,0,0,0
1,299.2,308.4,1330.0,51.2,56,0,0,0,0,0,0
1,300.2,309.5,1500.0,45.7,89,0,0,0,0,0,0
0,301.6,310.7,1683.0,29.7,131,0,0,0,0,0,0
0,299.9,310.4,1419.0,45.7,178,0,0,0,0,0,0
0,298.6,309.0,1469.0,46.0,4,0,0,0,0,0,0
0,300.9,311.0,1899.5,15.8,156,0,0,0,0,0,0
0,301.9,310.8,1400.0,58.2,79,0,0,0,0,0,0
1,298.2,308.3,1448.0,43.3,199,0,0,0,0,0,0
0,298.2,308.9,1367.0,45.0,85,0,0,0,0,0,0
1,298.6,309.1,1587.0,37.3,203,0,0,0,0,0,0
0,300.5,309.9,1480.0,40.0,148,0,0,0,0,0,0
0,300.8,310.2,1850.0,22.8,33,0,0,0,0,0,0
0,298.1,308.6,1558.0,42.4,14,0,0,0,0,0,0
0,297.1,308.1,1446.0,36.6,227,0,0,0,0,0,0
2,302.3,311.8,1475.0,42.8,38,0,0,0,0,0,0
0,301.1,310.6,1611.0,35.2,70,0,0,0,0,0,0
0,300.4,310.5,1578.0,32.8,26,0,0,0,0,0,0
1,297.3,308.5,1710.0,27.7,138,0,0,0,0,0,0
0,302.5,310.5,1520.0,41.2,154,0,0,0,0,0,0
1,302.2,310.7,1601.0,33.0,166,0,0,0,0,0,0
0,297.2,308.6,1636.0,31.3,192,0,0,0,0,0,0
0,297.1,307.8,1636.0,30.3,90,0,0,0,0,0,0
1,296.2,307.2,1552.0,34.8,8,0,0,0,0,0,0
0,300.3,311.4,1318.0,52.7,13,0,0,0,0,0,0
0,299.8,309.2,1400.0,42.6,210,0,0,0,0,0,0
2,298.6,309.5,1420.0,50.4,82,0,0,0,0,0,0
0,301.9,310.8,1899.5,21.7,62,0,0,0,0,0,0
0,302.1,310.8,1565.0,35.3,6,0,0,0,0,0,0
0,302.4,311.1,1899.5,20.9,77,0,0,0,0,0,0
1,298.6,309.8,1419.0,44.9,115,0,0,0,0,0,0
0,296.9,307.8,1285.0,52.1,100,0,0,0,0,0,0
0,298.3,308.5,1664.0,31.6,144,0,0,0,0,0,0
0,296.8,307.9,1337.0,56.5,5,0,0,0,0,0,0
2,302.2,311.2,1692.0,28.2,122,0,0,0,0,0,0
0,298.7,309.9,1404.0,47.1,64,0,0,0,0,0,0
0,298.2,307.6,1511.0,31.0,209,0,0,0,0,0,1
0,300.5,309.7,1580.0,42.8,196,0,0,0,0,0,0
0,302.8,310.6,1404.0,43.2,203,0,0,0,0,0,0
1,302.0,310.8,1609.0,35.2,4,0,0,0,0,0,0
0,299.2,308.5,1457.0,44.7,195,0,0,0,0,0,0
1,299.2,308.5,1742.0,28.9,150,0,0,0,0,0,0
2,302.9,311.0,1469.0,48.7,130,0,0,0,0,0,0
0,297.8,308.5,1448.0,40.0,192,0,0,0,0,0,0
0,297.2,308.6,1335.0,53.0,39,0,0,0,0,0,0
2,297.5,308.6,1536.0,38.7,7,0,0,0,0,0,0
1,303.6,312.5,1607.0,33.7,14,0,0,0,0,0,0
0,296.8,307.9,1698.0,30.8,48,0,0,0,0,0,0
2,301.2,309.8,1709.0,27.0,151,0,0,0,0,0,0
0,300.8,312.4,1365.0,44.5,129,0,0,0,0,0,0
0,299.7,309.6,1553.0,36.8,174,0,0,0,0,0,0
1,298.1,307.4,1335.0,56.2,190,0,0,0,0,0,0
0,297.2,307.9,1540.0,37.1,164,0,0,0,0,0,0
1,300.3,310.4,1293.0,49.7,37,0,0,0,0,0,0
2,298.3,309.0,1470.0,38.4,10,0,0,0,0,0,0
0,300.1,309.4,1453.0,47.6,28,0,0,0,0,0,0
1,299.9,309.1,1345.0,56.8,10,0,0,0,0,0,0
0,301.3,311.0,1539.0,36.9,206,0,0,0,0,0,0
0,299.4,308.6,1492.0,40.5,181,0,0,0,0,0,0
0,298.4,309.3,1395.0,47.6,24,0,0,0,0,0,0
0,302.3,311.5,1387.0,47.3,2,0,0,0,0,0,0
0,300.9,310.9,1497.0,43.2,62,0,0,0,0,0,0
0,298.8,308.5,1736.0,29.0,31,0,0,0,0,0,0
0,297.8,307.6,1607.0,30.3,62,0,0,0,0,0,0
1,300.0,309.5,1879.0,22.4,79,0,0,0,0,0,0
0,297.5,308.9,1738.0,24.0,195,0,0,0,0,0,0
2,297.6,308.8,1385.0,44.4,181,0,0,0,0,0,0
1,302.2,311.1,1516.0,33.7,158,0,0,0,0,0,0
0,303.8,313.0,1633.0,32.9,207,0,0,0,0,0,0
0,300.6,310.7,1397.0,53.7,80,0,0,0,0,0,0
0,297.3,308.3,1268.0,60.6,119,0,0,0,0,0,0
0,297.6,308.6,1529.0,45.3,15,0,0,0,0,0,0
1,300.2,311.0,1899.5,14.7,144,0,0,0,0,0,0
0,302.4,310.1,1645.0,31.6,93,0,0,0,0,0,0
0,303.7,312.4,1702.0,31.2,144,0,0,0,0,0,0
1,299.8,309.3,1640.0,31.1,211,0,0,0,0,0,0
0,299.7,311.1,1574.0,36.4,135,0,0,0,0,0,0
0,297.5,309.4,1650.0,34.6,142,0,0,0,0,0,0
1,301.5,310.0,1417.0,44.6,49,0,0,0,0,0,0
1,298.1,308.1,1456.0,43.7,80,0,0,0,0,0,0
0,299.5,310.1,1585.0,35.2,50,0,0,0,0,0,0
0,301.0,310.6,1493.0,37.8,206,0,0,0,0,0,1
1,301.7,310.7,1659.0,29.9,73,0,0,0,0,0,0
0,297.3,308.4,1469.0,46.7,65,0,0,0,0,0,0
1,302.2,310.1,1421.0,45.4,9,0,0,0,0,0,0
1,303.6,312.8,1689.0,33.1,16,0,0,0,0,0,0
2,298.5,309.6,1579.0,33.5,91,0,0,0,0,0,0
0,300.6,310.2,1318.0,51.0,8,0,0,0,0,0,0
1,302.1,310.6,1517.0,38.9,2,0,0,0,0,0,0
0,297.1,308.2,1899.5,15.7,181,0,0,0,0,0,0
0,299.4,308.6,1415.0,56.4,175,0,0,0,0,0,0
0,301.0,310.7,1300.0,57.2,174,0,0,0,0,0,0
2,297.9,308.5,1383.0,44.6,184,0,0,0,0,0,0
0,301.9,310.8,1427.0,47.7,92,0,0,0,0,0,0
0,299.4,309.3,1391.0,46.6,185,0,0,0,0,0,0
2,299.3,310.4,1510.0,45.5,27,0,0,0,0,0,0
0,300.0,311.5,1445.0,41.6,81,0,0,0,0,0,0
0,298.2,309.1,1568.0,36.3,166,0,0,0,0,0,0
2,300.9,311.9,1899.5,16.5,43,0,0,0,0,0,0
0,299.6,310.9,1472.0,40.9,137,0,0,0,0,0,0
1,298.5,309.6,1502.0,39.4,84,0,0,0,0,0,0
0,300.6,310.0,1455.0,40.4,172,0,0,0,0,0,0
0,299.1,310.6,1577.0,37.1,44,0,0,0,0,0,0
0,302.5,310.3,1688.0,31.6,66,0,0,0,0,0,0
0,298.9,310.0,1378.0,49.3,18,0,0,0,0,0,0
1,298.5,309.3,1761.0,27.2,49,0,0,0,0,0,0
0,297.5,308.2,1489.0,40.7,141,0,0,0,0,0,0
1,297.7,309.0,1531.0,42.4,38,0,0,0,0,0,0
2,297.4,308.2,1359.0,46.9,199,0,0,0,0,0,0
0,301.7,310.6,1660.0,28.7,66,0,0,0,0,0,0
0,301.0,311.9,1889.0,23.5,198,0,0,0,0,0,0
0,302.3,310.1,1353.0,50.9,36,0,0,0,0,0,1
0,298.3,309.1,1616.0,31.1,195,0,0,0,0,0,0
1,299.2,309.1,1503.0,34.7,6,0,0,0,0,0,0
1,297.5,308.0,1560.0,39.0,141,0,0,0,0,0,0
0,299.6,309.2,1422.0,39.8,219,0,0,0,0,0,0
1,300.5,311.4,1743.0,27.6,46,0,0,0,0,0,0
1,297.2,307.9,1632.0,37.5,156,0,0,0,0,0,0
0,300.1,309.3,1340.0,56.0,130,0,0,0,0,0,0
1,298.0,308.5,1682.0,33.0,58,0,0,0,0,0,0
2,297.6,309.6,1419.0,48.2,215,0,0,0,0,0,0
0,300.7,310.9,1650.0,29.4,102,0,0,0,0,0,0
0,300.8,311.9,1498.0,39.3,23,0,0,0,0,0,0
0,303.0,311.2,1382.0,50.5,203,0,0,0,0,0,0
1,301.9,310.7,1511.0,37.6,70,0,0,0,0,0,0
2,297.9,307.7,1464.0,43.2,97,0,0,0,0,0,0
1,301.4,310.6,1459.0,46.9,27,0,0,0,0,0,0
0,298.4,308.3,1422.0,42.7,186,0,0,0,0,0,0
1,300.0,309.3,1413.0,40.7,117,0,0,0,0,0,0
1,300.5,309.5,1320.0,49.9,59,0,0,0,0,0,0
1,300.3,311.3,1377.0,53.8,125,0,0,0,0,0,0
0,300.6,310.0,1438.0,53.8,103,0,0,0,0,0,0
0,297.9,307.8,1499.0,37.5,78,0,0,0,0,0,0
0,298.8,309.6,1442.0,50.0,104,0,0,0,0,0,0
0,295.6,306.0,1569.0,40.4,174,0,0,0,0,0,0
1,297.7,309.2,1732.0,28.8,152,0,0,0,0,0,0
0,300.3,311.5,1695.0,25.6,43,0,0,0,0,0,0
1,300.2,311.6,1510.0,47.5,146,0,0,0,0,0,0
0,298.8,310.0,1412.0,46.3,107,0,0,0,0,0,0
0,298.6,309.4,1315.0,55.5,28,0,0,0,0,0,0
1,297.7,307.3,1365.0,49.2,36,0,0,0,0,0,0
0,297.4,308.2,1639.0,33.8,39,0,0,0,0,0,0
1,302.5,311.5,1481.0,41.1,215,0,0,0,0,0,0
0,300.0,309.6,1452.0,46.0,51,0,0,0,0,0,0
1,296.6,307.5,1734.0,27.0,50,0,0,0,0,0,0
1,302.6,312.3,1454.0,54.8,253,0,0,0,0,0,1
0,298.2,308.8,1302.0,60.4,34,0,0,0,0,0,0
0,295.8,306.5,1568.0,35.1,111,0,0,0,0,0,0
0,297.4,308.4,1369.0,50.6,220,0,0,0,0,0,1
2,301.2,310.6,1352.0,52.0,69,0,0,0,0,0,0
0,300.8,311.8,1899.5,21.8,209,0,0,0,0,0,0
1,300.8,310.7,1899.5,22.4,36,0,0,0,0,0,0
2,301.7,310.2,1620.0,30.8,42,0,0,0,0,0,0
0,302.0,311.0,1420.0,45.9,144,0,0,0,0,0,0
0,300.4,311.7,1513.0,40.0,51,0,0,0,0,0,0
2,300.6,311.7,1535.0,33.3,92,0,0,0,0,0,0
1,297.2,308.3,1326.0,57.2,100,0,0,0,0,0,0
0,299.0,308.5,1559.0,38.1,194,0,0,0,0,0,0
1,302.4,311.8,1557.0,31.5,49,0,0,0,0,0,0
1,297.1,308.0,1690.0,25.6,159,0,0,0,0,0,0
0,299.3,308.5,1589.0,32.7,74,0,0,0,0,0,0
0,298.8,308.9,1527.0,32.4,189,0,0,0,0,0,0
1,297.5,308.5,1484.0,44.7,40,0,0,0,0,0,0
0,298.3,308.1,1840.0,21.5,88,0,0,0,0,0,0
1,301.1,310.0,1433.0,48.1,14,0,0,0,0,0,0
0,302.1,311.2,1460.0,46.9,198,0,0,0,0,0,0
2,300.8,309.9,1899.5,19.2,194,0,0,0,0,0,0
2,300.8,311.9,1431.0,48.5,25,0,0,0,0,0,0
0,300.7,310.4,1366.0,52.6,205,0,0,0,0,0,0
0,302.0,311.2,1434.0,44.9,15,0,0,0,0,0,0
1,299.8,310.0,1632.0,33.7,172,0,0,0,0,0,0
0,299.8,311.3,1727.0,30.0,24,0,0,0,0,0,0
1,301.1,311.3,1836.0,22.8,31,0,0,0,0,0,0
0,297.5,308.9,1390.0,47.4,187,0,0,0,0,0,0
1,300.4,309.4,1362.0,42.1,182,0,0,0,0,0,0
1,301.7,311.0,1311.0,46.8,136,0,0,0,0,0,0
0,298.2,308.3,1402.0,51.0,141,0,0,0,0,0,0
0,299.4,308.5,1845.0,22.9,76,0,0,0,0,0,0
1,300.8,310.4,1518.0,36.0,59,0,0,0,0,0,0
1,296.9,307.9,1385.0,44.8,144,0,0,0,0,0,0
0,300.3,309.9,1393.0,56.1,12,0,0,0,0,0,0
0,298.1,309.0,1437.0,36.2,95,0,0,0,0,0,0
0,300.2,311.4,1495.0,43.6,95,0,0,0,0,0,0
0,298.9,309.9,1590.0,31.3,98,0,0,0,0,0,0
0,301.8,310.7,1644.0,33.4,68,0,0,0,0,0,0
1,300.3,309.6,1419.0,42.5,137,0,0,0,0,0,0
0,298.2,308.3,1899.5,19.2,90,0,0,0,0,0,0
0,297.5,309.6,1312.0,50.7,0,0,0,0,0,0,0
0,300.0,309.2,1566.0,34.4,18,0,0,0,0,0,0
0,303.6,312.6,1502.0,39.5,103,0,0,0,0,0,0
1,300.5,309.4,1655.0,32.1,37,0,0,0,0,0,0
2,302.5,312.0,1357.0,42.0,179,0,0,0,0,0,0
1,302.4,311.4,1675.0,29.6,128,0,0,0,0,0,0
0,297.4,308.5,1692.0,34.3,83,0,0,0,0,0,0
1,299.8,309.3,1663.0,35.2,208,0,0,0,0,0,0
0,299.0,308.6,1329.0,60.5,120,0,0,0,0,0,0
1,301.9,310.7,1472.0,47.0,73,0,0,0,0,0,0
0,300.1,309.1,1551.0,33.7,214,0,0,0,0,0,0
0,298.2,308.9,1336.0,45.0,66,0,0,0,0,0,0
1,298.6,309.2,1311.0,46.6,44,0,0,0,0,0,0
1,299.6,309.3,1553.0,32.4,112,0,0,0,0,0,0
1,298.1,308.9,1417.0,39.2,65,0,0,0,0,0,0
0,298.6,309.0,1456.0,47.7,0,0,0,0,0,0,0
1,299.5,310.1,1359.0,61.1,67,0,0,0,0,0,0
0,301.0,311.6,1461.0,40.6,154,0,0,0,0,0,0
0,300.4,309.9,1376.0,43.5,74,0,0,0,0,0,0
1,302.2,311.4,1432.0,45.3,33,0,0,0,0,0,0
1,301.4,310.6,1459.0,35.0,87,0,0,0,0,0,0
0,299.4,309.3,1366.0,48.4,116,0,0,0,0,0,0
0,298.7,309.8,1546.0,40.9,109,0,0,0,0,0,0
1,298.8,309.7,1480.0,38.1,157,0,0,0,0,0,0
0,298.3,308.1,1505.0,46.1,80,0,0,0,0,0,0
1,302.5,311.4,1629.0,31.7,225,0,0,0,0,0,0
0,298.0,308.9,1406.0,40.9,77,0,0,0,0,0,0
0,297.8,309.2,1400.0,56.9,34,0,0,0,0,0,0
0,297.4,308.5,1389.0,39.2,54,0,0,0,0,0,0
1,302.0,311.3,1725.0,27.7,23,0,0,0,0,0,0
0,299.2,308.4,1436.0,41.8,28,0,0,0,0,0,0
0,298.2,307.6,1369.0,54.5,82,0,0,0,0,0,0
1,298.3,309.6,1681.0,27.1,194,0,0,0,0,0,0
0,300.7,311.1,1427.0,50.3,137,0,0,0,0,0,0
0,301.4,310.8,1698.0,29.6,99,0,0,0,0,0,0
0,296.9,307.7,1653.0,35.9,177,0,0,0,0,0,0
1,295.6,306.1,1651.0,28.1,110,0,0,0,0,0,0
1,298.5,308.6,1897.0,20.2,50,0,0,0,0,0,0
2,297.9,307.9,1406.0,58.5,93,0,0,0,0,0,0
0,301.2,310.6,1811.0,24.0,84,0,0,0,0,0,0
0,301.0,312.2,1510.0,39.9,61,0,0,0,0,0,0
1,298.2,308.8,1645.0,28.2,58,0,0,0,0,0,0
1,297.9,308.7,1751.0,26.6,111,0,0,0,0,0,0
1,300.0,311.4,1533.0,42.6,180,0,0,0,0,0,0
0,301.6,309.8,1588.0,33.9,89,0,0,0,0,0,0
1,302.3,310.9,1627.0,32.3,0,0,0,0,0,0,0
1,300.3,311.7,1551.0,36.4,84,0,0,0,0,0,0
1,295.6,306.1,1418.0,46.2,24,0,0,0,0,0,0
0,300.6,311.8,1652.0,27.2,52,0,0,0,0,0,0
0,300.0,309.6,1431.0,47.7,39,0,0,0,0,0,0
1,297.4,308.9,1500.0,46.3,137,0,0,0,0,0,0
1,297.8,307.9,1726.0,27.3,35,0,0,0,0,0,0
0,299.8,311.2,1899.5,16.6,144,0,0,0,0,0,0
1,300.9,310.0,1416.0,46.6,201,0,0,0,0,0,0
2,297.3,308.4,1864.0,23.1,90,0,0,0,0,0,0
0,298.5,308.2,1444.0,40.5,170,0,0,0,0,0,0
2,297.5,308.6,1355.0,58.9,138,0,0,0,0,0,0
0,297.4,308.4,1341.0,52.2,49,0,0,0,0,0,0
1,301.1,312.4,1809.0,25.1,126,0,0,0,0,0,0
1,299.3,308.5,1404.0,49.4,93,0,0,0,0,0,0
0,299.9,310.0,1447.0,45.9,162,0,0,0,0,0,0
2,297.5,308.9,1471.0,37.7,197,0,0,0,0,0,0
0,297.6,308.6,1664.0,30.1,81,0,0,0,0,0,0
0,300.0,311.5,1749.0,28.3,83,0,0,0,0,0,0
0,298.3,308.1,1528.0,33.9,82,0,0,0,0,0,0
0,297.9,309.0,1562.0,35.8,40,0,0,0,0,0,0
0,298.5,308.8,1332.0,59.1,115,0,0,0,0,0,0
2,297.4,308.7,1522.0,46.3,146,0,0,0,0,0,0
0,300.1,309.3,1616.0,32.0,199,0,0,0,0,0,0
0,299.8,309.4,1460.0,37.4,25,0,0,0,0,0,0
0,296.4,307.5,1331.0,47.8,99,0,0,0,0,0,0
0,299.3,308.8,1647.0,32.9,172,0,0,0,0,0,0
0,300.2,311.6,1511.0,35.7,160,0,0,0,0,0,0
0,299.0,309.1,1523.0,38.6,177,0,0,0,0,0,0
1,298.7,309.8,1435.0,48.8,71,0,0,0,0,0,0
1,296.0,306.6,1628.0,36.8,121,0,0,0,0,0,0
0,297.8,307.2,1351.0,56.3,174,0,0,0,0,0,0
1,301.3,310.8,1494.0,35.3,54,0,0,0,0,0,0
0,301.5,310.5,1611.0,33.8,144,0,0,0,0,0,0
2,299.3,309.0,1732.0,29.7,141,0,0,0,0,0,0
0,304.2,313.4,1644.0,31.7,23,0,0,0,0,0,0
0,299.7,309.1,1483.0,41.1,208,0,0,0,0,0,0
1,303.6,312.3,1630.0,32.4,223,0,0,0,0,0,0
0,300.5,310.0,1451.0,48.6,208,0,0,0,0,0,0
0,298.6,310.2,1569.0,36.3,10,0,0,0,0,0,0
1,298.7,309.6,1254.0,57.1,124,0,0,0,0,0,0
1,298.8,309.6,1575.0,34.4,149,0,0,0,0,0,0
1,298.5,309.3,1552.0,36.8,133,0,0,0,0,0,0
0,301.9,310.4,1603.0,37.6,69,0,0,0,0,0,0
0,300.0,309.1,1401.0,44.5,0,0,0,0,0,0,0
1,301.9,310.8,1563.0,39.2,39,0,0,0,0,0,0
0,297.2,307.9,1309.0,49.6,167,0,0,0,0,0,0
0,295.7,306.3,1490.0,34.3,97,0,0,0,0,0,0
1,298.4,309.5,1514.0,38.8,128,0,0,0,0,0,0
0,299.9,310.5,1539.0,32.8,213,0,0,0,0,0,0
2,302.9,312.3,1509.0,46.8,175,0,0,0,0,0,0
