rotational_speed_[rpm],tool_wear_[min],air_temperature_[k],type,twf,pwf,process_temperature_[k],hdf,rnf,osf
1553.0,174,299.7,0,0,0,309.6,0,0,0
1335.0,190,298.1,1,0,0,307.4,0,0,0
1540.0,164,297.2,0,0,0,307.9,0,0,0
1293.0,37,300.3,1,0,0,310.4,0,0,0
1470.0,10,298.3,2,0,0,309.0,0,0,0
1453.0,28,300.1,0,0,0,309.4,0,0,0
1345.0,10,299.9,1,0,0,309.1,0,0,0
1539.0,206,301.3,0,0,0,311.0,0,0,0
1492.0,181,299.4,0,0,0,308.6,0,0,0
1395.0,24,298.4,0,0,0,309.3,0,0,0
1387.0,2,302.3,0,0,0,311.5,0,0,0
1497.0,62,300.9,0,0,0,310.9,0,0,0
1736.0,31,298.8,0,0,0,308.5,0,0,0
1607.0,62,297.8,0,0,0,307.6,0,0,0
1879.0,79,300.0,1,0,0,309.5,0,0,0
1738.0,195,297.5,0,0,0,308.9,0,0,0
1385.0,181,297.6,2,0,0,308.8,0,0,0
1516.0,158,302.2,1,0,0,311.1,0,0,0
1633.0,207,303.8,0,0,0,313.0,0,0,0
1397.0,80,300.6,0,0,0,310.7,0,0,0
1268.0,119,297.3,0,0,0,308.3,0,0,0
1529.0,15,297.6,0,0,0,308.6,0,0,0
1899.5,144,300.2,1,0,0,311.0,0,0,0
1645.0,93,302.4,0,0,0,310.1,0,0,0
1702.0,144,303.7,0,0,0,312.4,0,0,0
1640.0,211,299.8,1,0,0,309.3,0,0,0
1574.0,135,299.7,0,0,0,311.1,0,0,0
1650.0,142,297.5,0,0,0,309.4,0,0,0
1417.0,49,301.5,1,0,0,310.0,0,0,0
1456.0,80,298.1,1,0,0,308.1,0,0,0
1585.0,50,299.5,0,0,0,310.1,0,0,0
1493.0,206,301.0,0,0,0,310.6,0,0,0
1659.0,73,301.7,1,0,0,310.7,0,0,0
1469.0,65,297.3,0,0,0,308.4,0,0,0
1421.0,9,302.2,1,0,0,310.1,0,0,0
1689.0,16,303.6,1,0,0,312.8,0,0,0
1579.0,91,298.5,2,0,0,309.6,0,0,0
1318.0,8,300.6,0,0,0,310.2,0,0,0
1517.0,2,302.1,1,0,0,310.6,0,0,0
1899.5,181,297.1,0,0,0,308.2,0,0,0
1415.0,175,299.4,0,0,0,308.6,0,0,0
1300.0,174,301.0,0,0,0,310.7,0,0,0
1383.0,184,297.9,2,0,0,308.5,0,0,0
1427.0,92,301.9,0,0,0,310.8,0,0,0
1391.0,185,299.4,0,0,0,309.3,0,0,0
1510.0,27,299.3,2,0,0,310.4,0,0,0
1445.0,81,300.0,0,0,0,311.5,0,0,0
1568.0,166,298.2,0,0,0,309.1,0,0,0
1899.5,43,300.9,2,0,0,311.9,0,0,0
1472.0,137,299.6,0,0,0,310.9,0,0,0
1502.0,84,298.5,1,0,0,309.6,0,0,0
1455.0,172,300.6,0,0,0,310.0,0,0,0
1577.0,44,299.1,0,0,0,310.6,0,0,0
1688.0,66,302.5,0,0,0,310.3,0,0,0
1378.0,18,298.9,0,0,0,310.0,0,0,0
1761.0,49,298.5,1,0,0,309.3,0,0,0
1489.0,141,297.5,0,0,0,308.2,0,0,0
1531.0,38,297.7,1,0,0,309.0,0,0,0
1359.0,199,297.4,2,0,0,308.2,0,0,0
1660.0,66,301.7,0,0,0,310.6,0,0,0
1889.0,198,301.0,0,0,0,311.9,0,0,0
1353.0,36,302.3,0,0,0,310.1,0,0,0
1616.0,195,298.3,0,0,0,309.1,0,0,0
1503.0,6,299.2,1,0,0,309.1,0,0,0
1560.0,141,297.5,1,0,0,308.0,0,0,0
1422.0,219,299.6,0,0,0,309.2,0,0,0
1743.0,46,300.5,1,0,0,311.4,0,0,0
1632.0,156,297.2,1,0,0,307.9,0,0,0
1340.0,130,300.1,0,0,0,309.3,0,0,0
1682.0,58,298.0,1,0,0,308.5,0,0,0
1419.0,215,297.6,2,0,0,309.6,0,0,0
1650.0,102,300.7,0,0,0,310.9,0,0,0
1498.0,23,300.8,0,0,0,311.9,0,0,0
1382.0,203,303.0,0,0,0,311.2,0,0,0
1511.0,70,301.9,1,0,0,310.7,0,0,0
1464.0,97,297.9,2,0,0,307.7,0,0,0
1459.0,27,301.4,1,0,0,310.6,0,0,0
1422.0,186,298.4,0,0,0,308.3,0,0,0
1413.0,117,300.0,1,0,0,309.3,0,0,0
1320.0,59,300.5,1,0,0,309.5,0,0,0
1377.0,125,300.3,1,0,0,311.3,0,0,0
1438.0,103,300.6,0,0,0,310.0,0,0,0
1499.0,78,297.9,0,0,0,307.8,0,0,0
1442.0,104,298.8,0,0,0,309.6,0,0,0
1569.0,174,295.6,0,0,0,306.0,0,0,0
1732.0,152,297.7,1,0,0,309.2,0,0,0
1695.0,43,300.3,0,0,0,311.5,0,0,0
1510.0,146,300.2,1,0,0,311.6,0,0,0
1412.0,107,298.8,0,0,0,310.0,0,0,0
1315.0,28,298.6,0,0,0,309.4,0,0,0
1365.0,36,297.7,1,0,0,307.3,0,0,0
1639.0,39,297.4,0,0,0,308.2,0,0,0
1481.0,215,302.5,1,0,0,311.5,0,0,0
1452.0,51,300.0,0,0,0,309.6,0,0,0
1734.0,50,296.6,1,0,0,307.5,0,0,0
1454.0,253,302.6,1,0,0,312.3,0,0,0
1302.0,34,298.2,0,0,0,308.8,0,0,0
1568.0,111,295.8,0,0,0,306.5,0,0,0
1369.0,220,297.4,0,0,0,308.4,0,0,0
1352.0,69,301.2,2,0,0,310.6,0,0,0
1899.5,209,300.8,0,0,0,311.8,0,0,0
1899.5,36,300.8,1,0,0,310.7,0,0,0
1620.0,42,301.7,2,0,0,310.2,0,0,0
1420.0,144,302.0,0,0,0,311.0,0,0,0
1513.0,51,300.4,0,0,0,311.7,0,0,0
1535.0,92,300.6,2,0,0,311.7,0,0,0
1326.0,100,297.2,1,0,0,308.3,0,0,0
1559.0,194,299.0,0,0,0,308.5,0,0,0
1557.0,49,302.4,1,0,0,311.8,0,0,0
1690.0,159,297.1,1,0,0,308.0,0,0,0
1589.0,74,299.3,0,0,0,308.5,0,0,0
1527.0,189,298.8,0,0,0,308.9,0,0,0
1484.0,40,297.5,1,0,0,308.5,0,0,0
1840.0,88,298.3,0,0,0,308.1,0,0,0
1433.0,14,301.1,1,0,0,310.0,0,0,0
1460.0,198,302.1,0,0,0,311.2,0,0,0
1899.5,194,300.8,2,0,0,309.9,0,0,0
1431.0,25,300.8,2,0,0,311.9,0,0,0
1366.0,205,300.7,0,0,0,310.4,0,0,0
1434.0,15,302.0,0,0,0,311.2,0,0,0
1632.0,172,299.8,1,0,0,310.0,0,0,0
1727.0,24,299.8,0,0,0,311.3,0,0,0
1836.0,31,301.1,1,0,0,311.3,0,0,0
1390.0,187,297.5,0,0,0,308.9,0,0,0
1362.0,182,300.4,1,0,0,309.4,0,0,0
1311.0,136,301.7,1,0,0,311.0,0,0,0
1402.0,141,298.2,0,0,0,308.3,0,0,0
1845.0,76,299.4,0,0,0,308.5,0,0,0
1518.0,59,300.8,1,0,0,310.4,0,0,0
1385.0,144,296.9,1,0,0,307.9,0,0,0
1393.0,12,300.3,0,0,0,309.9,0,0,0
1437.0,95,298.1,0,0,0,309.0,0,0,0
1495.0,95,300.2,0,0,0,311.4,0,0,0
1590.0,98,298.9,0,0,0,309.9,0,0,0
1644.0,68,301.8,0,0,0,310.7,0,0,0
1419.0,137,300.3,1,0,0,309.6,0,0,0
1899.5,90,298.2,0,0,0,308.3,0,0,0
1312.0,0,297.5,0,0,0,309.6,0,0,0
1566.0,18,300.0,0,0,0,309.2,0,0,0
1502.0,103,303.6,0,0,0,312.6,0,0,0
1655.0,37,300.5,1,0,0,309.4,0,0,0
1357.0,179,302.5,2,0,0,312.0,0,0,0
1675.0,128,302.4,1,0,0,311.4,0,0,0
1692.0,83,297.4,0,0,0,308.5,0,0,0
1663.0,208,299.8,1,0,0,309.3,0,0,0
1329.0,120,299.0,0,0,0,308.6,0,0,0
1472.0,73,301.9,1,0,0,310.7,0,0,0
1551.0,214,300.1,0,0,0,309.1,0,0,0
1336.0,66,298.2,0,0,0,308.9,0,0,0
1311.0,44,298.6,1,0,0,309.2,0,0,0
1553.0,112,299.6,1,0,0,309.3,0,0,0
1417.0,65,298.1,1,0,0,308.9,0,0,0
1456.0,0,298.6,0,0,0,309.0,0,0,0
1359.0,67,299.5,1,0,0,310.1,0,0,0
1461.0,154,301.0,0,0,0,311.6,0,0,0
1376.0,74,300.4,0,0,0,309.9,0,0,0
1432.0,33,302.2,1,0,0,311.4,0,0,0
1459.0,87,301.4,1,0,0,310.6,0,0,0
1366.0,116,299.4,0,0,0,309.3,0,0,0
1546.0,109,298.7,0,0,0,309.8,0,0,0
1480.0,157,298.8,1,0,0,309.7,0,0,0
1505.0,80,298.3,0,0,0,308.1,0,0,0
1629.0,225,302.5,1,0,0,311.4,0,0,0
1406.0,77,298.0,0,0,0,308.9,0,0,0
1400.0,34,297.8,0,0,0,309.2,0,0,0
1389.0,54,297.4,0,0,0,308.5,0,0,0
1725.0,23,302.0,1,0,0,311.3,0,0,0
1436.0,28,299.2,0,0,0,308.4,0,0,0
1369.0,82,298.2,0,0,0,307.6,0,0,0
1681.0,194,298.3,1,0,0,309.6,0,0,0
1427.0,137,300.7,0,0,0,311.1,0,0,0
1698.0,99,301.4,0,0,0,310.8,0,0,0
1653.0,177,296.9,0,0,0,307.7,0,0,0
1651.0,110,295.6,1,0,0,306.1,0,0,0
1897.0,50,298.5,1,0,0,308.6,0,0,0
1406.0,93,297.9,2,0,0,307.9,0,0,0
1811.0,84,301.2,0,0,0,310.6,0,0,0
1510.0,61,301.0,0,0,0,312.2,0,0,0
1645.0,58,298.2,1,0,0,308.8,0,0,0
1751.0,111,297.9,1,0,0,308.7,0,0,0
1533.0,180,300.0,1,0,0,311.4,0,0,0
1588.0,89,301.6,0,0,0,309.8,0,0,0
1627.0,0,302.3,1,0,0,310.9,0,0,0
1551.0,84,300.3,1,0,0,311.7,0,0,0
1418.0,24,295.6,1,0,0,306.1,0,0,0
1652.0,52,300.6,0,0,0,311.8,0,0,0
1431.0,39,300.0,0,0,0,309.6,0,0,0
1500.0,137,297.4,1,0,0,308.9,0,0,0
1726.0,35,297.8,1,0,0,307.9,0,0,0
1899.5,144,299.8,0,0,0,311.2,0,0,0
1416.0,201,300.9,1,0,0,310.0,0,0,0
1864.0,90,297.3,2,0,0,308.4,0,0,0
1444.0,170,298.5,0,0,0,308.2,0,0,0
1355.0,138,297.5,2,0,0,308.6,0,0,0
1341.0,49,297.4,0,0,0,308.4,0,0,0
1809.0,126,301.1,1,0,0,312.4,0,0,0
1404.0,93,299.3,1,0,0,308.5,0,0,0
1447.0,162,299.9,0,0,0,310.0,0,0,0
1471.0,197,297.5,2,0,0,308.9,0,0,0
1664.0,81,297.6,0,0,0,308.6,0,0,0
1749.0,83,300.0,0,0,0,311.5,0,0,0
1528.0,82,298.3,0,0,0,308.1,0,0,0
1562.0,40,297.9,0,0,0,309.0,0,0,0
1332.0,115,298.5,0,0,0,308.8,0,0,0
1522.0,146,297.4,2,0,0,308.7,0,0,0
1616.0,199,300.1,0,0,0,309.3,0,0,0
1460.0,25,299.8,0,0,0,309.4,0,0,0
1331.0,99,296.4,0,0,0,307.5,0,0,0
1647.0,172,299.3,0,0,0,308.8,0,0,0
1511.0,160,300.2,0,0,0,311.6,0,0,0
1523.0,177,299.0,0,0,0,309.1,0,0,0
1435.0,71,298.7,1,0,0,309.8,0,0,0
1628.0,121,296.0,1,0,0,306.6,0,0,0
1351.0,174,297.8,0,0,0,307.2,0,0,0
1494.0,54,301.3,1,0,0,310.8,0,0,0
1611.0,144,301.5,0,0,0,310.5,0,0,0
1732.0,141,299.3,2,0,0,309.0,0,0,0
1644.0,23,304.2,0,0,0,313.4,0,0,0
1483.0,208,299.7,0,0,0,309.1,0,0,0
1630.0,223,303.6,1,0,0,312.3,0,0,0
1451.0,208,300.5,0,0,0,310.0,0,0,0
1569.0,10,298.6,0,0,0,310.2,0,0,0
1254.0,124,298.7,1,0,0,309.6,0,0,0
1575.0,149,298.8,1,0,0,309.6,0,0,0
1552.0,133,298.5,1,0,0,309.3,0,0,0
1603.0,69,301.9,0,0,0,310.4,0,0,0
1401.0,0,300.0,0,0,0,309.1,0,0,0
1563.0,39,301.9,1,0,0,310.8,0,0,0
1309.0,167,297.2,0,0,0,307.9,0,0,0
1490.0,97,295.7,0,0,0,306.3,0,0,0
1514.0,128,298.4,1,0,0,309.5,0,0,0
1539.0,213,299.9,0,0,0,310.5,0,0,0
1509.0,175,302.9,2,0,0,312.3,0,0,0
1439.0,96,302.3,0,0,0,311.3,0,0,0
1536.0,202,297.5,0,0,0,308.6,0,0,0
1477.0,170,297.8,0,0,0,308.3,0,0,0
1426.0,130,296.9,1,0,0,307.8,0,0,0
1490.0,170,298.3,0,0,0,308.4,0,0,0
1899.5,23,302.9,1,0,0,312.5,0,0,0
1383.0,176,300.7,0,0,0,309.9,0,0,0
1727.0,43,301.4,1,0,0,311.2,0,0,0
1563.0,6,300.4,1,0,0,309.6,0,0,0
1590.0,106,301.9,2,0,0,310.9,0,0,0
1474.0,4,297.4,0,0,0,308.4,0,0,0
1353.0,150,298.2,1,0,0,309.0,0,0,0
1351.0,110,302.2,0,0,0,311.1,0,0,0
1472.0,187,301.9,2,0,0,310.5,0,0,0
1439.0,203,299.8,0,0,0,309.2,0,0,0
1472.0,116,298.0,1,0,0,307.6,0,0,0
1543.0,44,298.8,1,0,0,308.7,0,0,0
1339.0,94,299.0,0,0,0,310.4,0,0,0
1376.0,164,302.7,0,0,0,312.2,0,0,0
1590.0,130,301.9,1,0,0,310.5,0,0,0
1465.0,7,302.3,0,0,0,310.8,0,0,0
1747.0,136,297.9,0,0,0,307.6,0,0,0
1573.0,129,295.5,0,0,0,306.1,0,0,0
1421.0,124,297.4,0,0,0,308.4,0,0,0
1413.0,141,301.2,0,0,0,310.9,0,0,0
1587.0,141,299.0,1,0,0,310.6,0,0,0
1572.0,84,303.5,1,0,0,312.9,0,0,0
1408.0,144,300.2,1,0,0,309.7,0,0,0
1479.0,36,302.2,1,0,0,311.5,0,0,0
1610.0,187,301.4,0,0,0,310.8,0,0,0
1674.0,54,297.5,2,0,0,308.3,0,0,0
1618.0,115,301.7,1,0,0,311.1,0,0,0
1433.0,14,300.4,0,0,0,311.8,0,0,0
1526.0,85,299.8,0,0,0,309.6,0,0,0
1629.0,52,300.3,0,0,0,310.3,0,0,0
1621.0,48,299.4,0,0,0,309.2,0,0,0
1447.0,169,302.1,0,0,0,310.1,0,0,0
1506.0,85,299.7,1,0,0,311.0,0,0,0
1492.0,202,298.0,0,0,0,307.7,0,0,0
1458.0,132,298.2,0,0,0,308.3,0,0,0
1523.0,150,303.8,0,0,0,313.1,0,0,0
1445.0,129,298.9,0,0,0,310.2,0,0,0
1827.0,5,298.9,1,0,0,308.4,0,0,0
1437.0,0,301.8,1,0,0,310.2,0,0,0
1693.0,65,299.1,0,0,0,308.4,0,0,0
1455.0,208,298.8,0,0,0,308.9,0,0,0
1365.0,80,302.6,0,0,0,310.4,0,0,0
1353.0,34,300.1,0,0,0,309.5,0,0,0
1495.0,197,301.8,0,0,0,311.1,0,0,0
1648.0,134,297.6,1,0,0,308.3,0,0,0
1719.0,0,301.9,0,0,0,309.7,0,0,0
1643.0,142,303.3,0,0,0,312.7,0,0,0
1484.0,223,303.3,0,0,0,311.6,0,0,0
1662.0,67,299.0,1,0,0,310.3,0,0,0
1854.0,24,297.4,0,0,0,308.3,0,0,0
1429.0,19,298.9,2,0,0,310.5,0,0,0
1456.0,45,301.9,1,0,0,310.9,0,0,0
1464.0,184,301.0,0,0,0,310.7,0,0,0
1514.0,196,299.2,0,0,0,308.7,0,0,0
1444.0,56,297.2,1,0,0,308.6,0,0,0
1468.0,2,299.2,0,0,0,309.1,0,0,0
1543.0,209,300.4,0,0,0,309.6,0,0,0
1578.0,196,302.4,2,0,0,311.1,0,0,0
1390.0,63,301.3,0,0,0,310.5,0,0,0
1448.0,141,302.4,0,0,0,311.8,0,0,0
1518.0,59,297.3,0,0,0,308.0,0,0,0
1508.0,192,298.2,1,0,0,309.0,0,0,0
1547.0,74,297.7,1,0,0,308.3,0,0,0
1483.0,181,300.3,1,0,0,311.8,0,0,0
1336.0,217,299.5,0,0,0,309.1,0,0,0
1474.0,104,300.8,2,0,0,309.4,0,0,0
1342.0,68,300.4,0,0,0,309.8,0,0,0
1644.0,46,298.7,1,0,0,310.1,0,0,0
1504.0,2,301.3,0,0,0,311.1,0,0,0
1712.0,43,295.7,1,0,0,306.3,0,0,0
1656.0,127,300.4,2,0,0,310.7,0,0,0
1520.0,154,303.7,2,0,0,312.5,0,0,0
1353.0,86,300.1,0,0,0,309.1,0,0,0
1709.0,81,298.2,0,0,0,308.9,0,0,0
1503.0,54,298.1,1,0,0,307.8,0,0,0
1431.0,162,303.6,0,0,0,312.5,0,0,0
1366.0,36,300.7,1,0,0,311.9,0,0,0
1384.0,121,303.7,0,0,0,312.3,0,0,0
1496.0,90,300.7,0,0,0,310.8,0,0,0
1433.0,66,298.7,0,0,0,310.1,0,0,0
1441.0,210,300.9,0,0,0,312.0,0,0,0
1577.0,80,298.9,0,0,0,310.1,0,0,0
1898.0,20,296.1,0,0,0,307.1,0,0,0
1461.0,142,297.7,1,0,0,309.4,0,0,0
1581.0,75,298.8,1,0,0,310.2,0,0,0
1508.0,217,303.3,0,0,0,311.7,0,0,0
1538.0,171,297.3,1,0,0,307.8,0,0,0
1312.0,159,297.5,0,0,0,308.8,0,0,0
1543.0,37,300.4,0,0,0,309.5,0,0,0
1507.0,13,297.9,0,0,0,309.1,0,0,0
